MARCA;MARCA_GN
CHOCO REY/BARRA/SIN SABORCHOCO REY/BARRA/33 125 GRS;CHOCO REY
CHOCO SOYA/POLVO/SIN SABOR;CHOCO SOYA
CHOCO SOYA/POLVO/SIN SABORCHOCO SOYA/POLVO/141 200 GRS;CHOCO SOYA
CHOCO VALLE/BARRA/LECHE;CHOCO VALLE
CHOCO VALLE/BARRA/LECHECHOCO VALLE/BARRA/33 125 GRS;CHOCO VALLE
CHOCO/BARRA/SIN SABOR;CHOCO
CHOCO/BARRA/SIN SABORCHOCO/BARRA/33 125 GRS;CHOCO
CHOCO/POLVO/SIN SABOR;CHOCO
CHOCO/POLVO/SIN SABORCHOCO/POLVO/141 200 GRS;CHOCO
CHOCODELI/POLVO/SIN SABOR;CHOCODELI
CHOCODELI/POLVO/SIN SABORCHOCODELI/POLVO/141 200 GRS;CHOCODELI
CHOCODELI/POLVO/SIN SABORCHOCODELI/POLVO/201 260 GRS;CHOCODELI
CHOCOFANTASTICO/POLVO/SIN SABOR;CHOCOFANTASTICO
CHOCOFANTASTICO/POLVO/SIN SABORCHOCOFANTASTICO/POLVO/33 125 GRS;CHOCOFANTASTICO
CHOCOLATADA/POLVO/CLAVOS Y CANELA;CHOCOLATADA
CHOCOLATADA/POLVO/CLAVOS Y CANELACHOCOLATADA/POLVO/301 400 GRS;CHOCOLATADA
CHOCOLATADA/POLVO/CLAVOS Y CANELACHOCOLATADA/POLVO/33 125 GRS;CHOCOLATADA
CHOCOLATADA/POLVO/SIN SABOR;CHOCOLATADA
CHOCOLATADA/POLVO/SIN SABORCHOCOLATADA/POLVO/301 400 GRS;CHOCOLATADA
CHOCOLATADA/POLVO/SIN SABORCHOCOLATADA/POLVO/33 125 GRS;CHOCOLATADA
CHOCOLATE NACIONAL/BARRA/SIN SABOR;CHOCOLATE NACIONAL
CHOCOLATE NACIONAL/BARRA/SIN SABORCHOCOLATE NACIONAL/BARRA/250 374 GRS;CHOCOLATE NACIONAL
CHOCOLATERO/BARRA/SIN SABOR;CHOCOLATERO
CHOCOLATERO/BARRA/SIN SABORCHOCOLATERO/BARRA/250 374 GRS;CHOCOLATERO
CHOCOLATERO/BARRA/SIN SABORCHOCOLATERO/BARRA/500 O MAS GRS;CHOCOLATERO
CHOCOSANT/BARRA/SIN SABOR;CHOCOSANT
CHOCOSANT/BARRA/SIN SABORCHOCOSANT/BARRA/250 374 GRS;CHOCOSANT
CHOCOTOL/BARRA/SIN SABOR;CHOCOTOL
CHOCOTOL/BARRA/SIN SABORCHOCOTOL/BARRA/201 260 GRS;CHOCOTOL
CHOCOTOL/BARRA/SIN SABORCHOCOTOL/BARRA/500 O MAS GRS;CHOCOTOL
